	Gene	Block	Mutagenesis Start	Mutagenesis End
0	FRED1	1	3	138
1	FRED1	2	123	288
2	FRED1	3	279	441
3	FRED1	4	432	594
4	FRED1	5	588	759
5	FRED1	6	750	909
6	FRED1	7	903	1065
7	FRED1	8	1053	1224
8	FRED1	9	1212	1380
9	FRED1	10	1371	1533
10	FRED1	11	1527	1656
11	FRED2	1	3	141
12	FRED2	2	132	297
13	FRED2	3	291	468
14	FRED2	4	450	627
15	FRED2	5	618	780
16	FRED2	6	783	948
17	FRED2	7	936	1107
18	FRED2	8	1095	1269
19	FRED2	9	1257	1425
20	FRED2	10	1419	1587
21	FRED2	11	1587	1722
22	FRED3	1	3	141
23	FRED3	2	132	306
24	FRED3	3	288	456
25	FRED3	4	456	624
26	FRED3	5	615	780
27	FRED3	6	774	939
28	FRED3	7	930	1107
29	FRED3	8	1098	1260
30	FRED3	9	1260	1425
31	FRED3	10	1416	1584
32	FRED3	11	1578	1713
33	VWF1	1	3	123
34	VWF1	2	117	267
35	VWF1	3	264	414
36	VWF1	4	402	555
37	VWF1	5	549	699
38	VWF1	6	690	852
39	VWF1	7	834	993
40	VWF1	8	981	1140
41	VWF1	9	1134	1275
42	VWF1	10	1269	1422
43	VWF1	11	1416	1575
44	VWF1	12	1560	1683
45	VWF2	1	3	138
46	VWF2	2	138	300
47	VWF2	3	294	465
48	VWF2	4	459	621
49	VWF2	5	615	792
50	VWF2	6	780	954
51	VWF2	7	939	1113
52	VWF2	8	1107	1269
53	VWF2	9	1269	1434
54	VWF2	10	1431	1599
55	VWF2	11	1584	1728
56	VWF3	1	3	138
57	VWF3	2	132	300
58	VWF3	3	285	459
59	VWF3	4	453	618
60	VWF3	5	600	768
61	VWF3	6	762	930
62	VWF3	7	918	1095
63	VWF3	8	1086	1248
64	VWF3	9	1242	1407
65	VWF3	10	1395	1569
66	VWF3	11	1554	1692
67	VWF4	1	3	132
68	VWF4	2	132	291
69	VWF4	3	282	453
70	VWF4	4	444	612
71	VWF4	5	606	765
72	VWF4	6	762	930
73	VWF4	7	915	1086
74	VWF4	8	1080	1245
75	VWF4	9	1236	1401
76	VWF4	10	1389	1557
77	VWF4	11	1548	1686
78	VWF5	1	3	129
79	VWF5	2	111	273
80	VWF5	3	261	414
81	VWF5	4	405	555
82	VWF5	5	552	702
83	VWF5	6	696	846
84	VWF5	7	837	987
85	VWF5	8	987	1140
86	VWF5	9	1128	1281
87	VWF5	10	1275	1422
88	VWF5	11	1416	1569
89	VWF5	12	1566	1683
